Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name
1998,33,SFG,NL,156,697,552,120,167,44,7,37,122,28,12,130,92,0.303,0.438,0.609,1.047,178,336,15,8,1,6,29,Barry Bonds
1999,34,SFG,NL,102,434,355,91,93,20,2,34,83,15,2,73,62,0.262,0.389,0.617,1.006,156,219,6,3,0,3,9,Barry Bonds
2000,35,SFG,NL,143,607,480,129,147,28,4,49,106,11,3,117,77,0.306,0.44,0.688,1.127,188,330,6,3,0,7,22,Barry Bonds
2001,36,SFG,NL,153,664,476,129,156,32,2,73,137,13,3,177,93,0.328,0.515,0.863,1.379,259,411,5,9,0,2,35,Barry Bonds
2002,37,SFG,NL,143,612,403,117,149,31,2,46,110,9,2,198,47,0.37,0.582,0.799,1.381,268,322,4,9,0,2,68,Barry Bonds
2003,38,SFG,NL,130,550,390,111,133,22,1,45,90,7,0,148,58,0.341,0.529,0.749,1.278,231,292,7,10,0,2,61,Barry Bonds
2004,39,SFG,NL,147,617,373,129,135,27,3,45,101,6,1,232,41,0.362,0.609,0.812,1.422,263,303,5,9,0,3,120,Barry Bonds
2005,40,SFG,NL,14,52,42,8,12,1,0,5,10,0,0,9,6,0.286,0.404,0.667,1.071,174,28,0,0,0,1,3,Barry Bonds
2006,41,SFG,NL,130,493,367,74,99,23,0,26,77,3,0,115,51,0.27,0.454,0.545,0.999,156,200,9,10,0,1,38,Barry Bonds
2007,42,SFG,NL,126,477,340,75,94,14,0,28,66,5,0,132,54,0.276,0.48,0.565,1.045,169,192,13,3,0,2,43,Barry Bonds
1951,20,NYG,NL,121,523,464,59,127,22,5,20,68,7,4,57,60,0.274,0.356,0.472,0.828,120,219,11,2,1,,7,Willie Mays
1952,21,NYG,NL,34,144,127,17,30,2,4,4,23,4,1,16,17,0.236,0.326,0.409,0.736,102,52,2,1,0,,1,Willie Mays
1954,23,NYG,NL,151,641,565,119,195,33,13,41,110,8,5,66,57,0.345,0.411,0.667,1.078,175,377,12,2,0,7,14,Willie Mays
1955,24,NYG,NL,152,670,580,123,185,18,13,51,127,24,4,79,60,0.319,0.4,0.659,1.059,174,382,12,4,0,7,13,Willie Mays
1956,25,NYG,NL,152,651,578,101,171,27,8,36,84,40,10,68,65,0.296,0.369,0.557,0.926,146,322,16,1,0,3,20,Willie Mays
1957,26,NYG,NL,152,669,585,112,195,26,20,35,97,38,19,76,62,0.333,0.407,0.626,1.033,173,366,14,1,0,6,15,Willie Mays
1958,27,SFG,NL,152,685,600,121,208,33,11,29,96,31,6,78,56,0.347,0.419,0.583,1.002,165,350,11,1,0,6,12,Willie Mays
1959,28,SFG,NL,151,649,575,125,180,43,5,34,104,27,4,65,58,0.313,0.381,0.583,0.964,156,335,11,2,0,6,9,Willie Mays
1960,29,SFG,NL,153,669,595,107,190,29,12,29,103,25,10,61,70,0.319,0.381,0.555,0.936,160,330,15,4,0,9,11,Willie Mays
1961,30,SFG,NL,154,659,572,129,176,32,3,40,123,18,9,81,77,0.308,0.393,0.584,0.977,160,334,14,2,0,4,15,Willie Mays
1962,31,SFG,NL,162,706,621,130,189,36,5,49,141,18,2,78,85,0.304,0.384,0.615,0.999,165,382,19,4,0,3,11,Willie Mays
1963,32,SFG,NL,157,671,596,115,187,32,7,38,103,8,3,66,83,0.314,0.38,0.582,0.962,175,347,15,2,0,7,5,Willie Mays
1964,33,SFG,NL,157,665,578,121,171,21,9,47,111,19,5,82,72,0.296,0.383,0.607,0.99,172,351,11,1,1,3,13,Willie Mays
1965,34,SFG,NL,157,638,558,118,177,21,3,52,112,9,4,76,71,0.317,0.398,0.645,1.043,185,360,11,0,2,2,16,Willie Mays
1966,35,SFG,NL,152,629,552,99,159,29,4,37,103,5,1,70,81,0.288,0.368,0.556,0.924,149,307,13,2,1,4,11,Willie Mays
1967,36,SFG,NL,141,544,486,83,128,22,2,22,70,6,0,51,92,0.263,0.334,0.453,0.787,124,220,12,2,2,3,7,Willie Mays
1968,37,SFG,NL,148,573,498,84,144,20,5,23,79,12,6,67,81,0.289,0.372,0.488,0.86,156,243,13,2,0,6,7,Willie Mays
1969,38,SFG,NL,117,459,403,64,114,17,3,13,58,6,2,49,71,0.283,0.362,0.437,0.798,124,176,8,3,0,4,7,Willie Mays
1970,39,SFG,NL,139,566,478,94,139,15,2,28,83,5,0,79,90,0.291,0.39,0.506,0.897,140,242,7,3,0,6,3,Willie Mays
1971,40,SFG,NL,136,537,417,82,113,24,5,18,61,23,3,112,123,0.271,0.425,0.482,0.907,158,201,8,3,1,4,11,Willie Mays
1972,41,TOT,NL,88,309,244,35,61,11,1,8,22,4,5,60,48,0.25,0.4,0.402,0.802,131,98,9,1,4,0,6,Willie Mays
1973,42,NYM,NL,66,239,209,24,44,10,0,6,25,1,0,27,47,0.211,0.303,0.344,0.647,81,72,7,1,1,1,0,Willie Mays
1914,19,BOS,AL,5,10,10,1,2,1,0,0,0,0,0,0,4,0.2,0.2,0.3,0.5,50,3,,0,0,NA,NA,Babe Ruth
1915,20,BOS,AL,42,103,92,16,29,10,1,4,20,0,0,9,23,0.315,0.376,0.576,0.952,188,53,,0,2,NA,NA,Babe Ruth
1916,21,BOS,AL,67,152,136,18,37,5,3,3,16,0,,10,23,0.272,0.322,0.419,0.741,121,57,,0,4,NA,NA,Babe Ruth
1917,22,BOS,AL,52,142,123,14,40,6,3,2,14,0,,12,18,0.325,0.385,0.472,0.857,162,58,,0,7,NA,NA,Babe Ruth
1918,23,BOS,AL,95,382,317,50,95,26,11,11,61,6,,58,58,0.3,0.411,0.555,0.966,192,176,,2,3,NA,NA,Babe Ruth
1919,24,BOS,AL,130,543,432,103,139,34,12,29,113,7,,101,58,0.322,0.456,0.657,1.114,217,284,,6,3,NA,NA,Babe Ruth
1920,25,NYY,AL,142,617,458,158,172,36,9,54,135,14,14,150,80,0.376,0.532,0.847,1.379,255,388,,3,5,NA,NA,Babe Ruth
1921,26,NYY,AL,152,693,540,177,204,44,16,59,168,17,13,145,81,0.378,0.512,0.846,1.359,238,457,,4,4,NA,NA,Babe Ruth
1922,27,NYY,AL,110,496,406,94,128,24,8,35,96,2,5,84,80,0.315,0.434,0.672,1.106,182,273,,1,4,NA,NA,Babe Ruth
1923,28,NYY,AL,152,697,522,151,205,45,13,41,130,17,21,170,93,0.393,0.545,0.764,1.309,239,399,,4,3,NA,NA,Babe Ruth
1924,29,NYY,AL,153,681,529,143,200,39,7,46,124,9,13,142,81,0.378,0.513,0.739,1.252,220,391,,4,6,NA,NA,Babe Ruth
1925,30,NYY,AL,98,426,359,61,104,12,2,25,67,2,4,59,68,0.29,0.393,0.543,0.936,137,195,,2,6,NA,NA,Babe Ruth
1926,31,NYY,AL,152,652,495,139,184,30,5,47,153,11,9,144,76,0.372,0.516,0.737,1.253,225,365,,3,10,NA,NA,Babe Ruth
1927,32,NYY,AL,151,691,540,158,192,29,8,60,165,7,6,137,89,0.356,0.486,0.772,1.258,225,417,,0,14,NA,NA,Babe Ruth
1928,33,NYY,AL,154,684,536,163,173,29,8,54,146,4,5,137,87,0.323,0.463,0.709,1.172,206,380,,3,8,NA,NA,Babe Ruth
1929,34,NYY,AL,135,587,499,121,172,26,6,46,154,5,3,72,60,0.345,0.43,0.697,1.128,193,348,,3,13,NA,NA,Babe Ruth
1930,35,NYY,AL,145,676,518,150,186,28,9,49,153,10,10,136,61,0.359,0.493,0.732,1.225,211,379,,1,21,NA,NA,Babe Ruth
1931,36,NYY,AL,145,663,534,149,199,31,3,46,162,5,4,128,51,0.373,0.495,0.7,1.195,218,374,,1,0,NA,NA,Babe Ruth
1932,37,NYY,AL,133,589,457,120,156,13,5,41,137,2,2,130,62,0.341,0.489,0.661,1.15,201,302,,2,0,NA,NA,Babe Ruth
1933,38,NYY,AL,137,576,459,97,138,21,3,34,104,4,5,114,90,0.301,0.442,0.582,1.023,176,267,,2,0,NA,NA,Babe Ruth
1934,39,NYY,AL,125,472,365,78,105,17,4,22,84,1,3,104,63,0.288,0.448,0.537,0.985,160,196,,2,0,NA,NA,Babe Ruth
1935,40,BSN,NL,28,92,72,13,13,0,0,6,12,0,,20,24,0.181,0.359,0.431,0.789,119,31,2,0,0,NA,NA,Babe Ruth
